{input difference of the middle part, output mask of the middle part, correlation}

{0x1000000000000, 0x80000000000, -10.040589200000001},
{0x1000000000000, 0x800000000000, -10.1835036},
{0x1000000000000, 0x8000000000000, -9.682162199999999},
{0x1000000000000, 0x80000000000000, -11.0697564},
{0x1000000000000, 0x8000000000000000, -10.427693600000001},
{0x2000000000000, 0x8000000000000, -10.6343838},
{0x10000000000000, 0x8, -9.813777000000002},
{0x10000000000000, 0x80000, -10.033813400000001},
{0x10000000000000, 0x800000, -10.5365902},
{0x10000000000000, 0x8000000, -9.7153854},
{0x10000000000000, 0x8000000000, -10.620171599999999},
{0x10000000000000, 0x80000000000, -10.433802},
{0x10000000000000, 0x800000000000, -10.317494},
{0x10000000000000, 0x8000000000000, -9.7808488},
{0x10000000000000, 0x4000000000000000, -11.04987},
{0x10000000000000, 0x8000000000000000, -9.666090800000001},
{0x20000000000000, 0x8000, -10.3934596},
{0x100000000000000, 0x8, -9.6292212},
{0x100000000000000, 0x8000, -9.9905518},
{0x100000000000000, 0x80000, -9.378876},
{0x100000000000000, 0x800000000, -9.8092786},
{0x100000000000000, 0x80000000000, -9.3743728},
{0x100000000000000, 0x8000000000000000, -10.028640999999999},
{0x200000000000000, 0x8000000, -10.7860752},
{0x1000000000000000, 0x80, -10.710048599999999},
{0x1000000000000000, 0x8000, -10.1259504},
{0x1000000000000000, 0x80000, -9.642278600000001},
{0x1000000000000000, 0x800000, -10.448918799999998},
{0x1000000000000000, 0x800000000, -9.9073736},
{0x1000000000000000, 0x80000000000000, -10.2908106},
{0x1000000000000000, 0x800000000000000, -9.8050676},
{0x4000000000000000, 0x200000000, -11.174329600000002}}
