{input difference of the middle part, output mask of the middle part, correlation}

[0x4000, 0x200, 0x0, 0x2, -11.256880800000001], 
[0x4000, 0x200, 0x0, 0x8, -11.373692600000002], 
[0x4000, 0x200, 0x0, 0x1000, -9.6873494], 
[0x4000, 0x200, 0x0, 0x2000, -9.179582200000002], 
[0x4000, 0x200, 0x0, 0x4000, -9.7448058], 
[0x4000, 0x200, 0x0, 0x8000, -9.355162799999999], 
[0x4000, 0x200, 0x0, 0x100000, -8.775647000000001], 
[0x4000, 0x200, 0x0, 0x200000, -8.895534], 
[0x4000, 0x200, 0x0, 0x400000, -8.8495478], 
[0x4000, 0x200, 0x0, 0x800000, -9.891987199999999], 
[0x4000, 0x200, 0x0, 0x10000000, -11.242161399999999], 
[0x4000, 0x200, 0x20000, 0x0, -11.6355256], 
[0x8000, 0x400, 0x0, 0x2, -10.5418486], 
[0x8000, 0x400, 0x0, 0x4, -10.798123], 
[0x8000, 0x400, 0x0, 0x20, -12.018441600000001], 
[0x8000, 0x400, 0x0, 0x80, -11.256756200000002], 
[0x8000, 0x400, 0x0, 0x1000, -9.7015268], 
[0x8000, 0x400, 0x0, 0x2000, -9.258432], 
[0x8000, 0x400, 0x0, 0x4000, -9.768294599999999], 
[0x8000, 0x400, 0x0, 0x8000, -9.9222576], 
[0x8000, 0x400, 0x0, 0x100000, -11.4296842], 
[0x8000, 0x400, 0x0, 0x1000000, -11.0198622], 
[0x8000, 0x400, 0x0, 0x2000000, -9.63211], 
[0x8000, 0x400, 0x0, 0x4000000, -10.8076446], 
[0x8000, 0x400, 0x0, 0x8000000, -9.7241202], 
[0x10000, 0x800, 0x0, 0x1000, -10.693386], 
[0x10000, 0x800, 0x0, 0x2000, -10.7009278], 
[0x20000, 0x1000, 0x0, 0x20, -10.847411], 
[0x20000, 0x1000, 0x0, 0x80, -11.034803799999999], 
[0x20000, 0x1000, 0x0, 0x10000, -9.673430399999999], 
[0x20000, 0x1000, 0x0, 0x20000, -9.023429], 
[0x20000, 0x1000, 0x0, 0x40000, -9.6223868], 
[0x20000, 0x1000, 0x0, 0x80000, -9.197563800000001], 
[0x20000, 0x1000, 0x0, 0x1000000, -9.036052800000002], 
[0x20000, 0x1000, 0x0, 0x2000000, -9.1016854], 
[0x20000, 0x1000, 0x0, 0x4000000, -9.0462734], 
[0x20000, 0x1000, 0x0, 0x8000000, -10.0551018], 
[0x20000, 0x1000, 0x200000, 0x0, -11.1092918], 
[0x40000, 0x2000, 0x0, 0x1, -11.3748816], 
[0x40000, 0x2000, 0x0, 0x2, -11.0539034], 
[0x40000, 0x2000, 0x0, 0x4, -11.259739], 
[0x40000, 0x2000, 0x0, 0x10000, -9.7669812], 
[0x40000, 0x2000, 0x0, 0x20000, -9.2543094], 
[0x40000, 0x2000, 0x0, 0x40000, -9.733559000000001], 
[0x40000, 0x2000, 0x0, 0x80000, -9.407964999999999], 
[0x40000, 0x2000, 0x0, 0x1000000, -8.797783200000001], 
[0x40000, 0x2000, 0x0, 0x2000000, -8.776160999999998], 
[0x40000, 0x2000, 0x0, 0x4000000, -8.809313399999999], 
[0x40000, 0x2000, 0x0, 0x8000000, -9.926936], 
[0x40000, 0x2000, 0x20000000, 0x0, -11.1603448], 
[0x40000, 0x2000, 0x80000000, 0x0, -10.9171394], 
[0x80000, 0x4000, 0x0, 0x10, -10.5549182], 
[0x80000, 0x4000, 0x0, 0x20, -10.5958074], 
[0x80000, 0x4000, 0x0, 0x40, -10.630261], 
[0x80000, 0x4000, 0x0, 0x200, -10.9482926], 
[0x80000, 0x4000, 0x0, 0x800, -10.9084868], 
[0x80000, 0x4000, 0x0, 0x10000, -9.8170018], 
[0x80000, 0x4000, 0x0, 0x20000, -9.3449976], 
[0x80000, 0x4000, 0x0, 0x40000, -9.678138800000001], 
[0x80000, 0x4000, 0x0, 0x80000, -10.064417799999998], 
[0x80000, 0x4000, 0x0, 0x1000000, -11.2698678], 
[0x80000, 0x4000, 0x0, 0x4000000, -11.816479], 
[0x80000, 0x4000, 0x0, 0x10000000, -10.9153218], 
[0x80000, 0x4000, 0x0, 0x20000000, -9.6970524], 
[0x80000, 0x4000, 0x0, 0x40000000, -10.6177714], 
[0x80000, 0x4000, 0x0, 0x80000000, -9.7423744], 
[0x100000, 0x8000, 0x0, 0x10000, -11.3399224], 
[0x100000, 0x8000, 0x0, 0x20000, -10.7029942], 
[0x100000, 0x8000, 0x0, 0x40000, -10.787472], 
[0x100000, 0x8000, 0x0, 0x80000, -10.987345600000001], 
[0x100000, 0x8000, 0x0, 0x20000000, -11.5731584], 
[0x100000, 0x8000, 0x0, 0x80000000, -11.333233], 
[0x200000, 0x10000, 0x0, 0x80, -11.682466400000001], 
[0x200000, 0x10000, 0x0, 0x100, -10.8546418], 
[0x200000, 0x10000, 0x0, 0x200, -10.9044138], 
[0x200000, 0x10000, 0x0, 0x400, -11.2905496], 
[0x200000, 0x10000, 0x0, 0x800, -11.4431024], 
[0x200000, 0x10000, 0x0, 0x2000, -11.7422204], 
[0x200000, 0x10000, 0x0, 0x10000, -11.889619], 
[0x200000, 0x10000, 0x0, 0x100000, -9.7173014], 
[0x200000, 0x10000, 0x0, 0x200000, -9.040225], 
[0x200000, 0x10000, 0x0, 0x400000, -9.6419406], 
[0x200000, 0x10000, 0x0, 0x800000, -9.4426816], 
[0x200000, 0x10000, 0x0, 0x10000000, -9.0178354], 
[0x200000, 0x10000, 0x0, 0x20000000, -8.9671554], 
[0x200000, 0x10000, 0x0, 0x40000000, -8.989931], 
[0x200000, 0x10000, 0x0, 0x80000000, -10.119420400000001], 
[0x400000, 0x20000, 0x0, 0x10, -11.409194600000001], 
[0x400000, 0x20000, 0x0, 0x20, -10.6653366], 
[0x400000, 0x20000, 0x0, 0x40, -11.138343], 
[0x400000, 0x20000, 0x0, 0x100000, -9.806466999999998], 
[0x400000, 0x20000, 0x0, 0x200000, -9.110089], 
[0x400000, 0x20000, 0x0, 0x400000, -9.7063516], 
[0x400000, 0x20000, 0x0, 0x800000, -9.4498238], 
[0x400000, 0x20000, 0x0, 0x10000000, -8.9228836], 
[0x400000, 0x20000, 0x0, 0x20000000, -8.8082812], 
[0x400000, 0x20000, 0x0, 0x40000000, -8.902815999999998], 
